Make,MSRP
BMW,61546.76347305394
Audi,53452.11280487802
FIAT,22670.24193548386
Mercedes-Benz,71476.22946175636
Chrysler,26722.962566844923
Nissan,28583.431899641557
Volvo,28541.16014234876
Mazda,20039.382978723395
Mitsubishi,21240.535211267605
Ferrari,238218.84057971011
Alfa Romeo,61600.0
Toyota,29030.01608579089
McLaren,239805.0
Maybach,546221.875
Pontiac,19321.54838709679
Porsche,101622.39705882352
Saab,27413.504504504497
GMC,30493.29902912623
Hyundai,24597.03630363038
Plymouth,3122.90243902439
Honda,26674.340757238308
Oldsmobile,11542.540000000005
Suzuki,17907.207977207996
Ford,27399.26674233823
Cadillac,56231.317380352586
Kia,25310.173160173166
Bentley,247169.32432432438
Chevrolet,28350.385574354397
Dodge,22390.059105431315
Lamborghini,331567.30769230775
Lincoln,42839.8292682927
Subaru,24827.503906249996
Volkswagen,28102.380716934505
Spyker,213323.33333333334
Buick,28206.612244897944
Acura,34887.58730158732
Rolls-Royce,351130.6451612903
Maserati,114207.70689655174
Lexus,47549.06930693072
Aston Martin,197910.37634408602
Land Rover,67823.21678321679
Lotus,69188.27586206897
Infiniti,42394.212121212106
Scion,19932.5
Genesis,46616.666666666664
HUMMER,36464.41176470588
Tesla,85255.55555555555
Bugatti,1757223.6666666667
